@lat	@lon	name	operator	brand	addr:city	phone	website
8.5110238	76.9627206	HP		Hindustan Petroleum			
8.5076353	76.9621048	Bharat Petrol					
8.8242959	76.6770720						
10.6063429	76.2120633						
11.1296431	76.0057173	Essar petrol station musliarangadi		Essar			
11.2969266	75.8456129			Hindustan Petroleum			
11.2710933	75.8319857	Kovoor Petrol Pump	BP				
11.4224358	75.9340804	Reliance Petroleum			THAMARASSERY		
11.0592219	76.2751214	Superjet Petroleum	IBP				
8.5190400	76.9609452	HP		Hindustan Petroleum			
11.2731945	75.7777643	Nadakkave Pump					
8.5103383	76.9602255	Supplyco Pump	Supplyco	ioc			
9.9354760	76.4221195						
9.9360150	76.4218727						
10.8449272	76.0319490	Indian Oil	Hindustan Petroleum	Indian Oil			
10.8395074	76.0300801	Indian Oil	Indian Oil	Indian Oil			
9.7473533	76.6098634	HP marangattupilly		Hindustan Petroleum			
9.7136678	76.6870861						
9.7139177	76.6885664	HP		Hindustan Petroleum			
9.7126631	76.6905839	thottumkal Pump		IOC			
11.2157323	75.7972501	Bharat Petroleum		Bharat Petroleum			
9.7999364	76.6585222	HP ramapuram					
9.8975164	76.7231914						
9.7921661	76.6630901	"IBP, Ramapuram"					
9.9061403	76.7108479	"There are 3 in this line HP, IOC etc"					
9.4979834	76.3388129						
12.5095313	74.9860266	Indian Oil Petrol		Indian Oil			
9.6898169	76.7745305	Indian Oil		Indian Oil	Erattupetta		
9.7050316	76.6771035						
9.9231991	76.7762657						
10.6025375	76.6154852						
10.0722788	77.0617468	Station service Carburants	Indian Oil	Indian Oil			
10.0685805	76.6137294	Reliance Petroleum Pump		Reliance	"Thankalam, Kothamangalam"		
9.9687447	76.2442355	Indian Oil		Indian Oil			
10.0915647	76.5630114			HP			
10.0667220	76.6161289	PUMP		HP			
9.9952085	76.2926727	Indian Oil		Indian Oil			
8.7329748	76.7292724	Indian Oil Fuel Station	Indian Oil Corporation	Indian Oil			
9.5779417	77.0153376						
9.5888845	76.5815236						
11.2668950	75.7764965	Super Petrol Bunk					
9.7097049	76.6788706	Reliance	Reliance				
9.9002282	76.7123372	Bharat Petroleum	Bharat Petroleum				
10.8579725	76.0363825	Bharat Petroleum		Bharat Petroleum			
10.8638584	76.0382890	Indian Oil	Indian Oil	Indian Oil			
10.8864030	76.0726955						
9.9379014	76.3184301	Indian Oil		Indian Oil			
9.9431297	76.3186199	India Oil					
9.6588413	76.5505241	auto LPG only					
9.1271994	76.5166836	Indian Oil	Parabrahma	Indian Oil			
8.6111463	76.9978765	BP Pump					
10.2805448	77.1674870						
9.8309000	77.1613000	Indian Oil		Indian Oil			
9.5390370	76.8836654						
9.5411308	76.8809866						
9.9450776	76.2595070	Hindustan Petroleum pump		Hindustan Petroleum			
9.8816400	76.3024669						
9.8609248	76.3058537						
9.9448838	76.3721930	Bharat Petroleum		Bharat Petroleum			
9.7719643	76.3187302						
9.7495956	76.3189191						
9.5707456	76.6298733	Hindustan Petroleum		Hindustan Petroleum			
9.5692452	76.6334934						
9.5899619	76.5789731	Bharat Petroleum		Bharat Petroleum	Manarcadu		
9.6862419	76.4201700	Indian Oil		Indian Oil			
9.9686596	76.4222750	HP		Hindustan Petroleum	Puthencruz		
9.9797075	76.4775367						
9.9804472	76.5175591	ESSAR PETROL PUMP	Essar	ESSAR	Valakom		
9.9934982	76.5890269						
10.0587674	76.6467646	BP Petrol Pump					
8.5736602	76.8698307			Indian Oil Corporation			
10.8773033	76.5485441						
10.9803618	76.4889777						
8.4441566	76.9518023	HP		Hindustan Petroleum			
11.7488945	75.4889438						
8.5580612	76.8541678	Hindustan Petroleum					
9.6083821	77.1686780						
10.7230976	75.9767851	Indian Oil Fuel Station		Indian Oil			
8.4816322	76.9659917	Hindustan Petroleum		Hindustan Petroleum			
8.4845931	76.9553151						
9.7918419	76.6105161	Petrol Pump Uzhavoor					
12.5435140	74.9998438						
10.6094800	76.0031766	"Tharayil Fuels, Hindustan Petroleum Dealers"					
11.3278195	75.9869623	Agastanmuzhi					
11.2600954	75.9497520	Mavoor					
11.2642725	76.0260147	Valillapuzha					
9.3684446	76.5137933						
11.2642070	75.8892415	Bharat Petroleum		Bharat Petroleum			
9.9874150	76.2853413	Bharat Petroleum		Bharat Petroleum	Ernakulam		
9.9609245	77.0972965	Petrol Pump in Rajakkad					
9.9829556	77.2109896	Poopara Petrol Pump					
10.7693218	76.6432078						
11.2457081	75.9729196	Indian Oil		Indian Oil	edavannappara		
10.7744508	76.6533775						
11.2695913	75.8426045	Hindustan Petroleum Mangala Fuels	Indian oil	Indian Oil			
11.3675999	75.9610133	Omassery Indian oil		Indian Oil			
11.3671528	75.9610160	Omassery HP					
11.3203487	75.9654987	Manassery					
11.3181973	75.9436039	Kattangal					
11.7483185	75.9976686	Indian Oil		Indian Oil			
10.6709669	76.0009101	HP Petrol Bunk		Hindustan Petroleum	Punnayurkulam		
9.9004023	76.3883417	Chalappuram Fuels - IndianOil Retail Outlet		Indian Oil			
8.5183143	76.9429101	Hindustan Petroleum		Hindustan Petroleum			
8.6422446	76.8432284	Bharat Petroleum		Bharat Petroleum			
8.6986983	76.8138500			Indian Oil			
9.6778232	76.6014323						
9.9017204	76.7254525						
9.7605013	76.7001594	IndianOil Fuel Station					
9.6581602	76.7214132	Kalapurackal Petrol Bunk					
9.9332887	76.3859063	Indian Oil		Indian Oil			
9.9789549	76.3530222	Indian Oil		Indian Oil			
9.0918260	76.4898688	Amrita Diesal pump	Amrita	Hindustan Petroleum			
10.0150744	76.5236780	Petrol Pump					
10.9023790	75.9233885	Indian Oil		Indian Oil			
10.5177156	76.2106304	Indian Oil	KSRTC	Indian Oil			
10.3764041	76.3652055	"Fuel Pump, Chelakkattukara, Kodaly"					
10.5983495	76.4859502	Bharat Petroleum		Bharat Petroleum			
12.2494729	75.3288076	Indian Oil	Indian Oil	Indian Oil			
9.8902967	76.7041483						
9.8479276	76.6850586						
9.7072659	76.6713768	Indian Oil pump	indian oil	Indian Oil			
11.8591375	75.3785171			IBP			
8.8866872	76.5910047	Bharat Petroleum		Bharat Petroleum			
8.7829334	76.7800464						
8.8395997	76.7372546						
9.2535840	76.4658096	Bharat Petroleum		Bharat Petroleum			
9.2649726	76.4618372						
9.8169696	76.3135133						
10.9864722	76.1073210	Indian Oil		Indian Oil			
9.9354078	76.2578681	Indian Oil		Indian Oil			
9.9460009	76.2540740	Indian Oil		Indian Oil			
11.5541548	75.7635860						
11.0899681	75.8708754	Bharat Petroleum					
9.1524424	76.7329457	Kerala State Road Transport Corporation	Kerala State Road Transport Corporation		Adoor		
11.0386503	75.9377602						
11.1115591	75.8898353	Indain Oil	Indain Oil Corperation		Chelari		
12.5904005	75.0732980	Badiadka Pertol station			Badiyadka (Badiadka)		
11.1393195	75.8370833						
10.1759237	76.2118592	SAJ Fuels		IOC			
10.3606868	76.1262821						
10.3282015	76.1421264						
10.4107824	76.1086386	HP Fuel Station					
10.4218857	76.1044486						
10.6398950	75.9873326						
10.4641174	76.0828111	Indian Oil		Indian Oil			
10.7162759	75.9524558	HP petrol pump					
10.8857354	76.0735350			Bharat Petroleum			
10.8922344	76.0658784	Reliance					
10.9254062	76.0304592	Indian Oil		Indian Oil			
10.9286061	76.0262733	Indian Oil		Indian Oil	Vettichira		
11.2341332	75.8467165	IOC	IOC				
11.2221678	75.8556284	Hindustan Petroleum	Hindustan Petroleum				
11.4309243	75.7009452						
11.9081514	75.3674637	Bharat Petroleum		Bharat Petroleum			
11.8937243	75.3686224						
11.9577471	75.3557156	Hindustan Petroleum		Hindustan Petroleum			
12.2027307	75.1624249						
12.2773862	75.1102291						
12.2135448	75.1627921						
12.4581556	75.0591492						
12.5306173	74.9689679						
9.7962719	76.8475144	Indian Oil	St. George Fuels	Indian Oil	Moolamattom		
10.1423753	76.2288525						
11.1783255	75.8942790						
10.6822096	76.6916844						
10.3452101	76.2164894				Irinjalakuda		
10.3473713	76.2187022			BP	Irinjalakuda		
11.3378254	75.8101795						
11.2916053	75.8152635	Indian Oil Petrol Pump					
11.3187621	75.8839284	Relaince	Relaince				
11.3328823	75.8920632	Hindustan Petroleum	Hindustan Petroleum				
11.3281509	75.8862965						
11.4072491	75.9321330	BP	BP				
11.4028630	75.9268520	Indian Oil		Indian Oil			
11.4076487	75.9335999						
11.4837518	76.0084978	"Bharat Petroleum, Petrol Pump -M/S K M R Petroleum"	BP	Bharat Petroleum			
8.9952402	76.7517702						
11.1424204	75.9701782						
9.0031430	76.6615782			HP	east kallada		
9.0142682	76.6538890	Essar Petrol Pump	Essar				
9.4215599	76.5462513	HP Petrol					
9.3923263	76.5727907						
9.4665818	76.5304910						
9.5470675	76.8748863						
9.0328390	76.7783026						
9.0564457	76.7689524						
9.1971676	76.6982446	Bharat Petroleum		Bharat Petroleum			
9.2484639	76.6684773						
9.2418455	76.6729995						
9.2957238	76.6418268						
9.6786335	76.5578898						
